wavelength_nm,group_1_mean,group_1_std
425.67,104.48298775267384,31.4762473244743
425.8335,93.93619585882357,30.554292413492206
425.9969,240.07122339572177,34.751806847795024
426.1604,93.34528714304811,33.15140163879106
426.3239,160.72362989304824,33.278208516178964
426.4874,152.33058141711237,32.94316463003728
426.6509,95.82657020454549,30.365945940377014
426.8143,246.85197205882338,36.9305249828803
426.9778,146.785127566845,36.92720083687709
427.1412,126.19288036283429,118.42641528588838
427.3047,700.3880604278074,404.56643961772033
427.4681,783.3893987967908,621.4641381408373
427.6315,874.4161366042782,744.5473617111963
427.795,1245.6968862299461,731.4878139885788
427.9584,1191.686200534761,617.2157919525042
428.1218,1110.703579946525,562.5108734911585
428.2852,1000.8640014705875,568.2729229113148
428.4486,997.0979576203201,614.3550191970877
428.612,753.6514323529403,576.1900774854646
428.7754,383.7196158556149,423.99040801805904
428.9387,323.64074211229934,162.85420345735446
429.1021,342.57256029411735,52.02634417206114
429.2655,113.94421832887696,33.24996958539702
429.4288,214.53111644385007,34.07269117046203
429.5922,270.5217581550803,33.91545411072007
429.7555,322.6634693850265,36.33554355405581
429.9189,235.41748008021372,34.75371131264537
430.0822,161.82523395721935,32.313370548761114
430.2455,474.5017046791447,36.900996306285336
430.4088,275.99100949197856,35.27938281548336
430.5721,233.5418116310159,37.03437311469556
430.7354,175.84261367647073,33.679886348051035
430.8987,128.15678395721926,30.76714893462631
431.062,215.5244319518715,31.833694082975494
431.2253,184.25170471925145,33.77158642964411
431.3886,109.54314866310155,30.979172555609388
431.5518,370.42282767379675,36.30380272824674
431.7151,217.9228276737966,34.39855382496468
431.8784,236.75304157753996,34.66000856698311
432.0416,83.30651636764713,30.885372439920175
432.2049,234.11266724598912,33.72091141795072
432.3681,169.10598268716583,31.492591767550923
432.5313,255.25838917112293,35.708797085326474
432.6945,189.37871002673805,33.42409393111234
432.8578,280.4923463903743,33.823426473474065
433.021,337.41480628342225,34.5630600203677
433.1842,82.9722935203209,31.814378748536843
433.3474,151.6768382085562,31.27416371966839
433.5106,126.9709558823529,30.388603413907187
433.6737,235.55384371657738,35.2856389763816
433.8369,156.93753340909103,31.154620015677065
434.0001,207.29181163101592,35.34365249731881
434.1632,135.20624990641713,32.443721203535844
434.3264,156.09929766042785,32.59897703404475
434.4895,274.758389171123,34.266186167245934
434.6527,161.29715913101617,33.31189836929784
434.8158,266.54181163101606,33.420512583479756
434.9789,88.32389637165787,30.671404180256282
435.1421,114.55384304812847,32.55798437045293
435.3052,60.8626666276738,31.53242147695503
435.4683,128.03379030748658,32.048423316542646
435.6314,233.99502018716558,34.56145867898834
435.7945,227.17817526737952,35.32102670538329
435.9576,222.13405762032073,33.93902999232568
436.1207,194.78379020053475,35.12835041637048
436.2837,210.8011699197859,34.01314654100427
436.4468,173.84395061497332,33.60432443579851
436.6099,288.3653410427806,33.63593518810391
436.7729,136.82924465240635,31.67342519040574
436.9359,189.1808491310161,34.40663265061533
437.099,109.0658751737967,30.94415525170756
437.262,140.10731911764697,33.10029360733086
437.425,172.16614306149742,34.00124427549667
437.5881,134.63806788770046,32.38569739961194
